freq : 83.33 MHz
SWR : 1.965000
Theta     Phi     Gain(dB)     Gain     Phase(deg)
165        0        -12.0476      -126.3671      22.0372      
165        15        -12.047      -126.3661      59.8185      
165        30        -12.0454      -126.3643      58.3452      
165        45        -12.0437      -126.363      54.7674      
165        60        -12.0427      -126.3632      49.1454      
165        75        -12.0422      -126.3643      42.8129      
165        90        -12.0421      -126.3649      38.8808      
165        105        -12.0422      -126.3643      -136.9003      
165        120        -12.0427      -126.3632      -130.4974      
165        135        -12.0437      -126.363      -124.8282      
165        150        -12.0454      -126.3643      -121.1249      
165        165        -12.047      -126.3662      -119.1395      
165        180        -12.0476      -126.3671      58.1001      
165        195        -12.047      -126.3661      60.7001      
165        210        -12.0454      -126.3643      58.6664      
165        225        -12.0437      -126.363      54.8187      
165        240        -12.0427      -126.3632      48.8469      
165        255        -12.0422      -126.3643      41.6335      
165        270        -12.0421      -126.3649      16.773      
165        285        -12.0422      -126.3643      -134.4035      
165        300        -12.0427      -126.3632      -129.0705      
165        315        -12.0437      -126.363      -123.7303      
