Frequency (GHz),Theta (°),Phi (°),Gain phi,Gain theta
0.08333,180.000005,120.000003,1.9727208e-27,1.72529269e-16
0.08333,180.000005,135,2.63055029e-27,1.72529918e-16
0.08333,180.000005,149.999997,1.97325813e-27,1.72530566e-16
0.08333,180.000005,164.999994,6.57464816e-28,1.72531056e-16
0.08333,180.000005,180.000005,1.70999947e-35,1.72531228e-16
0.08333,180.000005,195.000002,6.57575365e-28,1.72531056e-16
0.08333,180.000005,209.999999,1.97279957e-27,1.72530566e-16
0.08333,180.000005,224.999996,2.63051813e-27,1.72529918e-16
0.08333,180.000005,240.000007,1.97313391e-27,1.72529269e-16
0.08333,180.000005,255.000004,6.57682302e-28,1.72528779e-16
0.08333,180.000005,270.000001,5.72390092e-36,1.72528607e-16
0.08333,180.000005,284.999998,6.57627124e-28,1.72528779e-16
0.08333,180.000005,299.999995,1.97330686e-27,1.72529269e-16
0.08333,180.000005,314.999992,2.6302614e-27,1.72529918e-16
0.08333,180.000005,329.999989,1.9729028e-27,1.72530566e-16
0.08333,180.000005,345.000013,6.5776218e-28,1.72531056e-16
0.08333,180.000005,360.00001,1.28927934e-36,1.72531228e-16
0.1,0,0,-2.85431471e-37,-1.82915255e-37
0.1,0,15.0000004,-1.7760157e-35,-1.20326445e-36
0.1,0,30.0000008,-1.3484222e-36,-4.12513641e-36
0.1,0,45.0000013,-4.79546666e-36,-1.83831561e-36
0.1,0,60.0000017,-5.90968503e-37,-3.77951137e-36
0.1,0,74.9999987,-4.86680732e-37,-4.49496764e-36
0.1,0,90.0000025,-1.09414954e-37,-5.37925414e-36
0.1,0,105,-3.98065765e-36,-2.22288034e-36
0.1,0,120.000003,-7.15824599e-37,-1.68536323e-36
0.1,0,135,-1.50871694e-36,-4.80547888e-36
0.1,0,149.999997,-3.64512963e-35,-2.30788198e-36
0.1,0,164.999994,-1.23730341e-36,-4.61875776e-37
0.1,0,180.000005,-4.42009803e-36,-5.18061275e-38
0.1,0,195.000002,-8.21329336e-38,-5.1285088e-36
0.1,0,209.999999,-1.15343152e-35,-1.5580882e-36
0.1,0,224.999996,-8.41360799e-36,-2.33160886e-37
0.1,0,240.000007,-2.15509695e-36,-5.2507648e-36
0.1,0,255.000004,-1.00205629e-36,-1.61163131e-35
0.1,0,270.000001,-1.69362894e-37,-2.11445149e-36
0.1,0,284.999998,-1.58074684e-37,-2.17198589e-36
0.1,0,299.999995,-2.35618099e-36,-2.25259027e-35
0.1,0,314.999992,-4.53125665e-37,-2.22972172e-36
0.1,0,329.999989,-1.00795929e-35,-4.56302205e-36
0.1,0,345.000013,-3.06052661e-36,-1.99664583e-37
0.1,0,360.00001,-2.85431471e-37,-1.82915255e-37
0.1,15.0000004,0,-2.26152245e-36,-0.00136556698
0.1,15.0000004,15.0000004,-6.68783551e-13,-0.00136555079
0.1,15.0000004,30.0000008,-2.02045932e-12,-0.00136550586
0.1,15.0000004,45.0000013,-2.72181908e-12,-0.00136544369
0.1,15.0000004,60.0000017,-2.06415354e-12,-0.00136538083
0.1,15.0000004,74.9999987,-6.94010604e-13,-0.00136533414
0.1,15.0000004,90.0000025,-2.12865164e-26,-0.00136531715
0.1,15.0000004,105,-6.94010496e-13,-0.00136533414
0.1,15.0000004,120.000003,-2.06415397e-12,-0.00136538083
0.1,15.0000004,135,-2.72181908e-12,-0.00136544369
0.1,15.0000004,149.999997,-2.02045975e-12,-0.00136550586
0.1,15.0000004,164.999994,-6.68783984e-13,-0.00136555079
0.1,15.0000004,180.000005,-8.15775976e-26,-0.00136556698
0.1,15.0000004,195.000002,-6.68783659e-13,-0.00136555079
0.1,15.0000004,209.999999,-2.02045932e-12,-0.00136550586
0.1,15.0000004,224.999996,-2.72181908e-12,-0.00136544369
0.1,15.0000004,240.000007,-2.06415354e-12,-0.00136538083
0.1,15.0000004,255.000004,-6.94010116e-13,-0.00136533414
0.1,15.0000004,270.000001,-1.58412745e-27,-0.00136531715
0.1,15.0000004,284.999998,-6.94010387e-13,-0.00136533414
0.1,15.0000004,299.999995,-2.06415354e-12,-0.00136538083
0.1,15.0000004,314.999992,-2.72181908e-12,-0.00136544369
0.1,15.0000004,329.999989,-2.02046062e-12,-0.00136550586
0.1,15.0000004,345.000013,-6.68782521e-13,-0.00136555079
0.1,15.0000004,360.00001,-2.26152245e-36,-0.00136556698
0.1,30.0000008,0,-1.90855147e-36,-0.00512990961
0.1,30.0000008,15.0000004,-2.18561085e-12,-0.00512985
0.1,30.0000008,30.0000008,-6.64640044e-12,-0.00512968376
0.1,30.0000008,45.0000013,-9.11944652e-12,-0.00512945
0.1,30.0000008,60.0000017,-7.11456111e-12,-0.00512920786
0.1,30.0000008,74.9999987,-2.45590527e-12,-0.00512902392
0.1,30.0000008,90.0000025,-7.61348642e-26,-0.00512895593
